time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-28T15:24:32.130Z,33.1831667,-115.6095,2.28,3.04,ml,62,43,0.007668,0.24,ci,ci39980583,2022-04-01T17:21:34.757Z,"10km SW of Niland, CA",earthquake,0.21,0.27,0.16,74,reviewed,ci,ci
2022-03-27T15:01:16.519Z,35.674,-97.42216667,7.08,3.29,ml,96,38,0,0.15,ok,ok2022galm,2022-04-12T14:50:49.347Z,"5 km ENE of Edmond, Oklahoma",earthquake,,0.2,0.24,40,reviewed,ok,ok
2022-03-24T21:00:54.810Z,40.6671,-109.4886,0,3.1,ml,,95,0.114,0.64,us,us7000gwzs,2022-05-28T18:35:34.040Z,"22 km NNE of Maeser, Utah",mining explosion,2.1,1.7,0.03,146,reviewed,us,us
2022-03-24T19:51:01.709Z,45.9621,-106.49,0,3.2,ml,,122,0.749,0.83,us,us7000gwz9,2022-05-28T18:35:34.040Z,"13 km NE of Colstrip, Montana",mining explosion,6,1.9,0.052,48,reviewed,us,us
2022-03-23T20:31:23.209Z,43.8039,-105.3173,0,3.1,ml,,113,0.978,0.23,us,us7000gwml,2022-05-28T18:35:28.040Z,"15 km ENE of Wright, Wyoming",mining explosion,8.4,1.7,0.045,64,reviewed,us,us
2022-03-22T11:59:40.490Z,33.4715,-116.5325,13.09,3.03,ml,125,19,0.06334,0.19,ci,ci39974207,2022-05-28T18:35:24.040Z,"16km SE of Anza, CA",earthquake,0.1,0.22,0.145,215,reviewed,ci,ci
2022-03-20T21:28:25.125Z,43.7251,-105.1729,0,3.3,ml,,119,0.912,0.7,us,us6000h69n,2022-05-28T18:35:21.040Z,"25 km E of Wright, Wyoming",mining explosion,3,1.8,0.044,68,reviewed,us,us
2022-03-20T00:00:15.569Z,37.5186,-97.7425,2.16,3.5,mb_lg,,50,0.364,0.21,us,us6000h63l,2022-05-28T18:35:19.040Z,"9 km WNW of Viola, Kansas",earthquake,1.9,7.5,0.041,155,reviewed,us,us
2022-03-19T09:53:11.967Z,41.3522,-106.5638,11.41,3.8,ml,,62,0.654,0.65,us,us6000h5zq,2022-05-28T18:35:18.040Z,"5 km NW of Ryan Park, Wyoming",earthquake,2.6,8.5,0.037,114,reviewed,us,us
2022-03-19T04:27:15.506Z,37.5224,-97.7449,5,3,mb_lg,,78,0.368,0.27,us,us6000h5y3,2022-05-28T18:35:17.040Z,"9 km WNW of Viola, Kansas",earthquake,1.9,2,0.049,109,reviewed,us,us
2022-03-17T20:00:24.213Z,36.3449,-103.2532,5,3.8,mb_lg,,119,1.221,0.33,us,us6000h5ip,2022-05-27T14:55:34.040Z,"13 km SSW of Clayton, New Mexico",earthquake,1.8,1.4,0.051,177,reviewed,us,us
2022-03-17T14:27:06.212Z,44.3019,-114.9398,10,3.1,ml,,64,0.651,0.63,us,us6000h5ew,2022-05-27T14:55:32.040Z,"9 km N of Stanley, Idaho",earthquake,1.2,2,0.066,30,reviewed,us,us
2022-03-17T14:25:20.917Z,44.3146,-114.958,10,3.1,ml,,63,0.663,0.8,us,us6000h5eu,2022-05-27T14:55:32.040Z,"10 km N of Stanley, Idaho",earthquake,1,2,0.034,112,reviewed,us,us
2022-03-16T20:04:27.392Z,43.8113,-105.3053,0,3,ml,,83,0.967,1,us,us6000h571,2022-05-27T14:55:29.040Z,"16 km ENE of Wright, Wyoming",mining explosion,4.7,1.6,0.047,60,reviewed,us,us
2022-03-16T18:28:15.341Z,45.1082,-106.843,0,3.3,ml,,185,1.716,1.27,us,us6000h56c,2022-05-27T14:55:29.040Z,"33 km NE of Ranchester, Wyoming",mining explosion,3.9,1.8,0.043,70,reviewed,us,us
2022-03-16T17:26:29.003Z,44.1242,-105.3248,0,3,ml,,103,0.928,0.96,us,us6000h6h7,2022-05-27T14:55:41.040Z,"15 km SSE of Sleepy Hollow, Wyoming",mining explosion,4.3,1.8,0.051,50,reviewed,us,us
2022-03-15T11:48:32.728Z,37.1209,-115.3165,11.8,3.4,ml,30,75.07,0.355,0.1972,nn,nn00835351,2022-05-27T14:55:26.040Z,"30 km SSW of Alamo, Nevada",earthquake,,1,0.44,16,reviewed,nn,nn
2022-03-14T11:20:21.399Z,35.106,-95.53583333,7.69,3.12,ml,82,54,0.1106782811,0.23,ok,ok2022fckr,2022-05-27T14:55:23.040Z,"12 km E of Crowder, Oklahoma",earthquake,,0.5,0.22,12,reviewed,ok,ok
2022-03-13T19:13:22.316Z,43.6221,-105.3596,0,3.1,ml,,121,1.079,0.76,us,us6000h47u,2022-05-27T14:55:22.040Z,"17 km SE of Wright, Wyoming",mining explosion,3.1,1.7,0.066,30,reviewed,us,us
2022-03-11T20:59:37.581Z,44.312,-114.9584,16.8,3.3,ml,,35,0.846,0.85,us,us6000h3wh,2022-05-14T21:52:35.040Z,"10 km N of Stanley, Idaho",earthquake,1.2,8.4,0.03,151,reviewed,us,us
2022-03-11T16:19:04.818Z,45.8375,-106.7722,0,3.2,ml,,98,0.932,0.93,us,us6000h3tr,2022-05-14T21:52:16.040Z,"12 km WSW of Colstrip, Montana",mining explosion,5.4,1.8,0.064,32,reviewed,us,us
2022-03-11T11:59:07.942Z,46.8979,-112.6508,13.8,3.3,ml,,45,0.057,0.55,us,us6000h3ry,2022-05-14T21:52:31.040Z,"6 km SSE of Lincoln, Montana",earthquake,2.1,7.2,0.041,79,reviewed,us,us
2022-03-11T11:43:51.585Z,46.8978,-112.66,9.06,3.2,ml,,45,0.057,0.42,us,us6000h3rx,2022-05-14T21:52:31.040Z,"6 km SSE of Lincoln, Montana",earthquake,2,8.2,0.042,75,reviewed,us,us
2022-03-09T21:09:21.375Z,43.7171,-105.3652,0,3.2,ml,,70,1.042,0.32,us,us6000h3eg,2022-05-14T21:52:16.040Z,"10 km ESE of Wright, Wyoming",mining explosion,6.6,1.8,0.046,74,reviewed,us,us
2022-03-08T20:37:23.247Z,38.6532,-97.4806,5,3,mb_lg,,99,0.717,0.44,us,us6000h34z,2022-05-14T21:52:24.040Z,"7 km SW of Gypsum, Kansas",earthquake,2,1.8,0.048,113,reviewed,us,us
2022-03-06T19:03:20.602Z,43.7201,-105.3322,0,3.1,ml,,78,1.019,0.51,us,us6000h2ku,2022-05-14T21:52:15.040Z,"13 km ESE of Wright, Wyoming",mining explosion,5.6,1.4,0.069,28,reviewed,us,us
2022-03-05T21:07:27.021Z,43.7243,-105.3542,0,3.4,ml,,70,1.031,0.46,us,us6000h2fp,2022-05-14T21:52:15.040Z,"11 km ESE of Wright, Wyoming",mining explosion,5.9,1.8,0.045,78,reviewed,us,us
2022-03-04T20:27:31.376Z,43.7279,-105.156,0,3.1,ml,,75,0.899,0.99,us,us6000h25b,2022-05-07T21:32:32.040Z,"27 km E of Wright, Wyoming",mining explosion,5.8,1.8,0.045,66,reviewed,us,us
2022-03-04T19:01:44.349Z,43.8367,-105.2357,0,3.1,ml,,51,0.911,0.65,us,us6000h24z,2022-05-07T21:32:32.040Z,"22 km ENE of Wright, Wyoming",mining explosion,5.6,1.9,0.041,78,reviewed,us,us
2022-03-04T09:57:48.046Z,38.0585,-115.2581,7.5,3.5,ml,11,51,0.614,0.1696,nn,nn00834904,2022-05-07T21:32:51.040Z,"51 km N of Hiko, Nevada",earthquake,,3,0.38,6,reviewed,nn,nn
2022-03-03T23:51:42.275Z,38.0896,-115.2854,8.2,3.1,ml,17,104.67,0.642,0.1755,nn,nn00834881,2022-05-07T21:32:49.040Z,"Nevada",earthquake,,6.7,0.34,12,reviewed,nn,nn
2022-03-03T20:21:09.619Z,45.0782,-106.8741,0,3.4,ml,,49,1.673,1.13,us,us6000h1vg,2022-05-07T21:32:32.040Z,"29 km NE of Ranchester, Wyoming",mining explosion,2.7,1.6,0.042,76,reviewed,us,us
2022-03-03T17:10:07.837Z,47.5794,-92.7274,0,3,ml,,83,0.908,0.77,us,us6000h1u5,2022-05-07T21:32:32.040Z,"7 km N of Kinney, Minnesota",mining explosion,2,1.9,0.105,12,reviewed,us,us
2022-03-02T09:08:11.670Z,38.5848333,-112.2125,-2.24,3.44,ml,24,47,0.08101,0.22,uu,uu60483892,2022-05-07T21:32:42.040Z,"4 km S of Joseph, Utah",earthquake,0.33,0.82,0.199,27,reviewed,uu,uu
2022-03-01T06:33:05.752Z,37.0276,-104.9291,6.89,3,ml,,63,0.15,0.39,us,us6000h10i,2022-05-07T21:32:39.040Z,"Colorado",earthquake,3.2,6.5,0.043,106,reviewed,us,us
2022-02-27T21:03:22.850Z,43.9027,-105.3439,0,3.1,ml,,89,0.968,0.14,us,us6000h0kk,2022-05-07T21:32:32.040Z,"20 km NE of Wright, Wyoming",mining explosion,7.2,1.8,0.042,74,reviewed,us,us
2022-02-25T22:01:11.293Z,43.864,-105.2908,0,3.1,ml,,66,0.941,0.72,us,us6000h06v,2022-05-04T13:40:47.040Z,"20 km NE of Wright, Wyoming",mining explosion,4.9,1.8,0.045,66,reviewed,us,us
2022-02-24T22:33:56.695Z,43.6187,-105.3102,0,3,ml,,122,1.049,0.53,us,us6000gzwq,2022-05-04T13:40:27.040Z,"20 km SE of Wright, Wyoming",mining explosion,2.8,1.7,0.071,26,reviewed,us,us
2022-02-22T05:10:27.089Z,36.85616667,-97.7895,7.78,3.24,ml,51,94,0.2951420831,0.13,ok,ok2022drkk,2022-05-04T13:39:38.040Z,"7 km NW of Medford, Oklahoma",earthquake,,0.7,0.2,29,reviewed,ok,ok
2022-02-21T21:05:25.450Z,43.7889,-105.332,0,3.1,ml,,113,0.993,0.37,us,us7000gms3,2022-05-04T13:39:28.040Z,"13 km ENE of Wright, Wyoming",mining explosion,4.4,1.7,0.051,60,reviewed,us,us
2022-02-19T22:17:28.310Z,38.5735,-112.2238333,4.48,3.53,ml,27,47,0.07028,0.27,uu,uu60482552,2022-05-04T13:38:43.040Z,"5 km S of Joseph, Utah",earthquake,0.43,0.87,0.138,29,reviewed,uu,uu
2022-02-18T21:04:51.309Z,43.7605,-105.2489,0,3.1,ml,,80,0.947,1.28,us,us7000gm2g,2022-04-30T14:18:27.040Z,"19 km E of Wright, Wyoming",mining explosion,4.1,1.6,0.046,62,reviewed,us,us
2022-02-18T17:48:05.626Z,47.605,-92.5604,0,3.2,ml,,83,0.795,0.81,us,us7000gm0x,2022-04-30T14:18:27.040Z,"8 km N of Parkville, Minnesota",mining explosion,5.1,2,0.105,12,reviewed,us,us
2022-02-14T22:09:22.900Z,45.8362,-106.693,0,3.2,ml,,99,0.912,0.84,us,us7000gkwg,2022-04-30T14:18:13.040Z,"7 km SW of Colstrip, Montana",mining explosion,5.2,1.8,0.056,42,reviewed,us,us
2022-02-14T21:05:13.566Z,43.7494,-105.4143,0,3.4,ml,,59,1.062,0.52,us,us7000gkvs,2022-04-30T14:18:13.040Z,"6 km E of Wright, Wyoming",mining explosion,4.2,1.7,0.049,70,reviewed,us,us
2022-02-13T19:06:12.465Z,43.7876,-105.3445,0,3.2,ml,,82,1.002,0.37,us,us7000gklc,2022-04-30T14:18:08.040Z,"12 km ENE of Wright, Wyoming",mining explosion,5.7,1.7,0.052,48,reviewed,us,us
2022-02-12T20:09:41.897Z,43.5879,-105.2528,0,3.2,ml,,78,1.029,0.88,us,us7000gkc6,2022-04-30T14:18:03.040Z,"26 km SE of Wright, Wyoming",mining explosion,4.2,1.7,0.051,60,reviewed,us,us
2022-02-12T16:34:30.921Z,43.7454,-105.3743,0,3,ml,,102,1.037,0.51,us,us7000gkav,2022-04-30T14:18:03.040Z,"9 km E of Wright, Wyoming",mining explosion,7.7,1.8,0.062,34,reviewed,us,us
2022-02-11T01:59:24.028Z,40.5145,-115.2667,2.4,3.1,ml,11,64.34,0.231,0.1679,nn,nn00833670,2022-04-19T17:39:50.040Z,"29 km SE of Lamoille, Nevada",earthquake,,3.1,0.41,7,reviewed,nn,nn
2022-02-10T17:49:44.648Z,44.3529,-105.4632,0,3.2,ml,,165,1.051,0.53,us,us7000gjqg,2022-04-19T17:39:36.040Z,"7 km NNE of Gillette, Wyoming",mining explosion,5.2,1.8,0.057,40,reviewed,us,us
2022-02-01T09:43:06.590Z,44.3114,-115.1599,10,3.3,ml,,65,0.922,0.35,us,us7000ggx4,2022-04-15T17:57:10.040Z,"20 km WNW of Stanley, Idaho",earthquake,2.2,2,0.033,120,reviewed,us,us
2022-01-31T22:53:09.420Z,40.6073333,-109.4736667,-2,3.17,ml,11,117,0.0816,0.13,uu,uu60479902,2022-04-15T17:56:59.040Z,"17 km NNE of Maeser, Utah",quarry blast,0.72,31.61,0.161,18,reviewed,uu,uu
2022-01-31T17:10:21.129Z,36.851,-97.7935,7.85,4.5,mww,96,91,0,0.23,ok,ok2022cedc,2022-04-15T17:57:08.040Z,"7 km NW of Medford, Oklahoma",earthquake,,0.5,,35,reviewed,ok,us
2022-01-30T16:36:50.142Z,44.409,-115.1634,10,3,ml,,81,0.903,0.38,us,us7000ggf0,2022-04-15T17:57:06.040Z,"27 km NW of Stanley, Idaho",earthquake,4,2,0.036,102,reviewed,us,us
2022-01-29T19:36:04.680Z,43.8276,-105.2887,0,3.1,ml,,84,0.95,0.31,us,us7000gg9u,2022-04-15T17:56:59.040Z,"18 km ENE of Wright, Wyoming",mining explosion,6.6,1.8,0.047,74,reviewed,us,us
2022-01-28T18:18:44.738Z,45.1351,-106.8513,0,3.1,ml,,49,1.614,0.88,us,us7000gfz3,2022-04-09T20:19:15.040Z,"33 km SW of Birney, Montana",mining explosion,5.6,1.8,0.041,80,reviewed,us,us
2022-01-27T22:03:55.866Z,43.8052,-105.36,0,3.1,ml,,83,1.007,0.59,us,us7000gfnt,2022-04-09T20:19:12.040Z,"12 km ENE of Wright, Wyoming",mining explosion,7.4,1.7,0.042,74,reviewed,us,us
2022-01-27T18:09:18.539Z,47.555,-92.6323,0,3,ml,,80,0.861,0.62,us,us7000gflv,2022-04-09T20:19:11.040Z,"2 km NNW of Mountain Iron, Minnesota",mining explosion,2.1,2,0.105,12,reviewed,us,us
2022-01-25T20:58:15.142Z,43.624,-105.2767,0,3.2,ml,,40,1.025,0.69,us,us7000gf3f,2022-04-09T20:19:03.040Z,"22 km SE of Wright, Wyoming",mining explosion,6.2,1.2,0.042,74,reviewed,us,us
2022-01-23T20:57:15.240Z,33.4338333,-116.3975,6.66,3.21,ml,127,27,0.09239,0.2,ci,ci39921383,2022-04-09T20:18:55.040Z,"20km N of Borrego Springs, CA",earthquake,0.11,0.39,0.132,253,reviewed,ci,ci
2022-01-23T16:32:57.349Z,43.7701,-105.3401,0,3,ml,,176,1.005,1,us,us7000geee,2022-04-09T20:18:54.040Z,"12 km E of Wright, Wyoming",mining explosion,6,2,0.046,62,reviewed,us,us
2022-01-22T01:01:42.300Z,32.8625,-116.0805,7.23,3.01,ml,92,31,0.07185,0.22,ci,ci39920079,2022-04-09T20:18:46.040Z,"16km NNW of Ocotillo, CA",earthquake,0.14,0.53,0.193,113,reviewed,ci,ci
2022-01-21T20:07:31.686Z,43.718,-105.3029,0,3.1,ml,,76,1,0.52,us,us7000gdzx,2022-04-01T17:40:09.040Z,"15 km ESE of Wright, Wyoming",mining explosion,7,1.7,0.043,72,reviewed,us,us
2022-01-21T04:59:43.240Z,40.786,-116.212,0,3.3,ml,,53,0.74,0.94,us,us7000gdri,2022-04-01T17:40:09.040Z,"12 km NW of Carlin, Nevada",mining explosion,2.9,1.6,0.026,194,reviewed,us,us
2022-01-19T18:47:42.037Z,43.8374,-105.2433,0,3.1,ml,,51,0.916,0.92,us,us7000gdae,2022-04-01T17:40:09.040Z,"22 km ENE of Wright, Wyoming",mining explosion,5.4,1.8,0.05,52,reviewed,us,us
2022-01-19T05:56:26.677Z,41.4289,-106.7141,5,3.3,ml,,61,0.789,1.13,us,us7000gd3q,2022-04-01T17:40:18.040Z,"8 km ESE of Saratoga, Wyoming",earthquake,2.3,1.9,0.04,84,reviewed,us,us
2022-01-18T15:55:58.223Z,45.681,-106.5756,0,3.2,ml,,150,1.037,0.36,us,us7000gcx9,2022-04-01T17:40:09.040Z,"9 km NE of Lame Deer, Montana",mining explosion,4,1.8,0.059,38,reviewed,us,us
2022-01-16T21:43:06.243Z,43.6413,-105.2956,0,3.2,ml,,109,1.029,0.62,us,us7000gcin,2022-04-01T17:40:09.040Z,"19 km SE of Wright, Wyoming",mining explosion,2.4,1.5,0.074,24,reviewed,us,us
2022-01-15T08:41:59.002Z,38.6657,-97.4701,5,3.1,mb_lg,,99,0.732,0.35,us,us7000gc7n,2022-04-01T17:40:10.040Z,"5 km SW of Gypsum, Kansas",earthquake,2.1,2,0.07,53,reviewed,us,us
2022-01-14T17:12:06.302Z,47.5704,-92.5061,0,3,ml,,83,0.778,0.73,us,us7000gc11,2022-03-19T22:08:02.040Z,"5 km NNE of Virginia, Minnesota",mining explosion,5.1,2,0.105,12,reviewed,us,us
2022-01-13T21:07:54.877Z,43.8879,-105.327,0,3.2,ml,,88,0.96,1.03,us,us7000gbr7,2022-03-19T22:07:59.040Z,"Wyoming",mining explosion,3.1,1.8,0.042,74,reviewed,us,us
2022-01-13T03:19:08.700Z,33.4688333,-116.443,13.97,3.86,mw,124,20,0.05631,0.21,ci,ci39910255,2022-04-11T08:03:05.625Z,"23km ESE of Anza, CA",earthquake,0.11,0.23,,6,reviewed,ci,ci
2022-01-12T20:23:20.108Z,43.8245,-105.2741,0,3,ml,,84,0.941,0.81,us,us7000gbfr,2022-03-19T22:07:54.040Z,"19 km ENE of Wright, Wyoming",mining explosion,3.7,1.8,0.045,64,reviewed,us,us
2022-01-11T19:59:24.845Z,43.5784,-105.2606,0,3.4,ml,,42,1.039,1.05,us,us7000gb28,2022-03-19T22:07:47.040Z,"26 km SE of Wright, Wyoming",mining explosion,6.5,1.7,0.043,72,reviewed,us,us
2022-01-10T14:35:40.877Z,38.6563,-97.5561,5,3.1,mb_lg,,104,0.688,0.23,us,us7000gajg,2022-03-19T22:07:36.040Z,"4 km ESE of Assaria, Kansas",earthquake,2.3,2,0.046,123,reviewed,us,us
2022-01-10T14:31:27.250Z,40.9622,-114.9424,13.6,3.7,ml,15,94.86,0.312,0.1579,nn,nn00831477,2022-03-19T22:07:36.040Z,"16 km S of Wells, Nevada",earthquake,,1.2,0.3,9,reviewed,nn,nn
2022-01-05T22:06:16.845Z,45.8121,-106.7243,0,3.2,ml,,76,0.943,0.65,us,us7000g9ct,2022-03-12T22:19:10.040Z,"11 km SW of Colstrip, Montana",mining explosion,2.7,1.9,0.06,52,reviewed,us,us
2022-01-04T23:22:39.593Z,41.094,-115.35,4.2,3.6,ml,9,110.43,0.359,0.1885,nn,nn00831000,2022-03-12T22:19:08.040Z,"31 km NE of Osino, Nevada",earthquake,,6,1.37,6,reviewed,nn,nn
2022-01-03T21:01:46.541Z,43.9499,-105.2868,0,3.3,ml,,92,0.918,0.35,us,us7000g8rj,2022-03-12T22:19:05.040Z,"27 km NE of Wright, Wyoming",mining explosion,5.1,1.2,0.055,56,reviewed,us,us
2022-01-01T23:03:52.032Z,43.6819,-105.3755,0,3.2,ml,,76,1.063,1.13,us,us7000g8dw,2022-03-12T22:19:00.040Z,"12 km SE of Wright, Wyoming",mining explosion,4.9,1.8,0.066,34,reviewed,us,us
2021-12-31T19:35:54.619Z,45.1694,-106.8409,0,3.1,ml,,65,1.579,0.99,us,us7000g87m,2022-03-05T23:10:35.040Z,"30 km WSW of Birney, Montana",mining explosion,4.1,1.8,0.053,46,reviewed,us,us
2021-12-30T20:53:09.902Z,43.5805,-105.385,0,3.2,ml,,77,1.115,0.31,us,us7000g81z,2022-03-05T23:10:34.040Z,"20 km SSE of Wright, Wyoming",mining explosion,5,1.3,0.05,52,reviewed,us,us
2021-12-29T20:21:20.553Z,45.7967,-106.5974,0,3.3,ml,,59,0.929,0.74,us,us7000g7s1,2022-03-05T23:10:34.040Z,"9 km SSE of Colstrip, Montana",mining explosion,5.5,1.9,0.049,54,reviewed,us,us
2021-12-29T18:18:39.459Z,47.5338,-92.5665,0,3,ml,,79,0.832,0.67,us,us7000g7lw,2022-03-05T23:10:34.040Z,"0 km ENE of Parkville, Minnesota",mining explosion,2.7,2,0.105,12,reviewed,us,us
2021-12-29T15:54:32.498Z,32.76580811,-100.6637052,7.947794596,3.1,ml,12,97,0.1126244185,0.1,tx,tx2021zmpp,2022-03-05T23:10:53.040Z,"17 km NNE of Hermleigh, Texas",earthquake,1.0752416979999997,1.71132553,0.1,8,reviewed,tx,tx
2021-12-28T20:19:26.363Z,43.6231,-105.2374,0,3.3,ml,,78,1.001,0.68,us,us6000gfxc,2022-03-05T23:10:34.040Z,"24 km SE of Wright, Wyoming",mining explosion,7.4,1.7,0.05,52,reviewed,us,us
2021-12-28T18:56:42.256Z,43.9912,-105.4062,0,3,ml,,94,0.996,0.82,us,us6000gfwi,2022-03-05T23:10:34.040Z,"26 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,3.1,1.8,0.059,38,reviewed,us,us
2021-12-27T19:18:54.190Z,34.1823333,-80.7196667,3.07,3.3,mlg,21,62,0.3184,0.4,se,se60377836,2022-05-12T18:04:49.954Z,"5 km SSW of Lugoff, South Carolina",earthquake,0.64,1.4,,0,reviewed,se,se
2021-12-27T05:51:31.121Z,38.6752,-97.4995,5,3.7,mb,,42,0.727,0.41,us,us6000gfjw,2022-03-05T23:10:44.040Z,"7 km WSW of Gypsum, Kansas",earthquake,3.8,2,0.205,11,reviewed,us,us
2021-12-26T21:01:31.823Z,43.8511,-105.1926,0,3,ml,,45,0.877,0.95,us,us6000gfib,2022-03-05T23:10:34.040Z,"Wyoming",mining explosion,6.4,1.3,0.066,30,reviewed,us,us
2021-12-26T10:40:16.736Z,38.6613,-97.4684,5,3.7,mwr,,30,0.729,0.46,us,us6000gfe5,2022-03-05T23:10:41.040Z,"6 km SW of Gypsum, Kansas",earthquake,3.4,2,,11,reviewed,us,slm
2021-12-24T20:02:29.240Z,43.7524,-105.3472,0,3.1,ml,,42,1.016,0.82,us,us6000gf3t,2022-03-05T23:10:34.040Z,"11 km E of Wright, Wyoming",mining explosion,5.7,1.7,0.044,69,reviewed,us,us
2021-12-24T17:44:29.062Z,44.345,-115.1813,18.5,3,ml,,37,0.944,0.47,us,us6000gf2s,2022-03-05T23:10:37.040Z,"24 km NW of Stanley, Idaho",earthquake,1.6,9.9,0.031,136,reviewed,us,us
